primary_key,normal,crack,dent,glass_shatter,lamp_broken,scratch,tire_flat,total_images,description_rating,rating,condition
362,4,0,0,0,0,0,0,4,4,,
363,3,0,0,0,0,0,0,3,4,,
364,5,0,0,1,0,0,0,6,4,,
365,2,0,0,0,0,0,0,2,4,,
366,6,0,0,0,0,0,0,6,4,,
367,6,0,0,0,0,0,1,7,4,8,
368,8,0,0,0,0,0,0,8,4,,
369,4,0,0,0,0,0,0,4,4,,
370,1,0,0,0,0,0,0,1,4,,
371,4,0,0,0,0,0,0,4,4,,
372,5,0,0,0,0,0,0,5,4,,
373,5,0,0,0,0,0,0,5,4,,
374,6,0,0,0,0,0,0,6,4,,
375,3,0,0,0,0,0,0,3,4,,
376,4,0,0,0,0,0,0,4,4,,
377,6,0,0,0,0,0,0,6,5,9,
378,10,0,0,0,0,0,0,10,4,,
379,3,0,0,0,0,0,0,3,4,,
380,3,0,0,0,0,1,0,4,4,,
381,6,0,0,0,0,0,0,6,4,,
382,3,0,0,0,0,0,0,3,2,,
383,4,0,0,0,0,0,0,4,4,,
384,6,0,0,0,0,0,0,6,4,,
385,6,0,0,0,1,0,0,7,4,4,
386,2,0,0,0,0,0,0,2,4,,
387,7,0,0,0,0,0,0,7,4,,
388,4,0,0,0,0,0,0,4,2,,
389,6,0,0,0,0,0,0,6,4,,
390,2,0,2,0,0,0,0,4,4,,
391,4,0,0,0,0,0,0,4,4,,
392,7,0,0,0,0,0,0,7,5,9,
393,10,0,0,0,0,0,0,10,2,,
394,6,0,0,0,0,0,0,6,2,,
395,2,0,0,0,0,0,0,2,4,,
396,5,0,0,0,0,0,0,5,4,,
397,5,0,0,0,0,0,0,5,4,,
398,6,0,0,0,0,0,0,6,2,,
399,3,0,2,0,0,0,0,5,2,,
400,4,0,0,0,0,0,0,4,4,,
401,3,0,2,0,0,0,0,5,4,,
402,4,0,0,0,0,0,0,4,4,,
403,3,0,0,0,0,0,0,3,4,,
404,2,0,1,0,0,0,0,3,2,,
405,2,0,1,0,0,0,0,3,4,,
406,3,0,0,0,0,1,0,4,4,,
407,5,0,0,0,0,0,0,5,4,,
408,7,0,0,0,0,0,0,7,4,,
409,6,0,0,0,0,1,0,7,4,,
410,8,0,1,0,0,0,0,9,4,,
411,2,0,0,0,0,0,0,2,4,,
412,4,0,0,0,0,0,0,4,4,,
413,8,0,0,0,0,0,0,8,4,,
414,6,0,0,0,0,0,0,6,4,,
415,6,0,0,0,0,0,0,6,4,,
416,3,0,0,0,0,0,0,3,4,,
417,5,0,0,0,0,0,1,6,4,,
418,8,0,0,0,0,0,0,8,4,,
419,4,0,0,0,1,0,0,5,4,,
420,6,0,0,0,0,0,0,6,4,,
421,6,0,0,0,0,0,0,6,4,,
422,6,0,0,0,0,0,0,6,5,9,
423,7,0,0,0,0,0,0,7,4,8,
424,6,0,0,0,0,0,0,6,4,8,
425,7,0,0,0,0,0,0,7,4,,
426,6,0,0,0,0,0,0,6,2,7,
427,7,0,1,0,0,0,0,8,4,,
428,6,0,0,0,0,0,0,6,4,,
429,4,0,0,0,0,0,0,4,4,,
430,6,0,0,0,0,0,0,6,4,8,
431,9,0,0,0,0,1,0,10,4,,
432,3,0,0,0,0,0,0,3,2,,
433,2,0,0,0,0,0,0,2,4,,
434,4,0,0,1,0,0,0,5,4,,
435,7,0,0,0,0,0,0,7,4,8,
436,5,0,0,0,0,0,0,5,4,,
437,8,0,0,0,0,0,0,8,4,,
438,6,0,2,0,0,0,1,9,4,,
439,6,0,0,0,0,0,0,6,4,,
440,7,0,0,0,0,0,0,7,2,,
441,4,0,0,0,0,0,0,4,4,,
442,6,0,0,0,0,0,0,6,4,,
443,8,0,2,0,0,0,0,10,4,,
444,5,0,1,0,0,0,0,6,4,,
445,4,0,0,0,0,0,0,4,4,,
446,7,0,1,0,0,0,0,8,4,,
447,6,0,0,0,0,0,0,6,5,9,
448,7,0,0,0,0,0,0,7,5,9,
449,7,0,0,0,0,0,0,7,4,,
450,8,0,1,0,0,0,0,9,4,,
451,3,0,0,0,3,1,1,8,4,,
452,11,0,0,0,0,0,0,11,4,,
453,8,0,4,0,0,0,0,12,4,,
454,4,0,0,0,0,0,0,4,4,,
455,6,0,0,0,0,0,0,6,4,,
456,8,0,0,0,0,0,0,8,4,,
457,5,0,0,0,0,0,0,5,4,,
458,6,0,0,0,0,0,0,6,4,,
459,3,0,0,0,0,0,0,3,4,,
460,4,0,0,0,0,0,0,4,4,,
461,6,0,0,0,0,0,0,6,5,9,
462,9,0,0,0,0,0,0,9,4,,
463,3,0,0,0,0,0,0,3,4,,
464,5,0,0,0,0,0,0,5,4,,
465,6,0,0,0,0,0,0,6,2,,
466,4,0,0,0,0,0,0,4,4,,
467,3,0,0,0,0,1,0,4,4,,
468,5,0,0,1,0,0,0,6,4,,
469,6,0,0,0,0,0,0,6,4,8,
470,6,0,0,0,0,0,0,6,5,10,
471,6,0,0,0,0,0,0,6,4,,
472,5,0,0,0,0,1,0,6,4,,
473,5,0,0,0,0,0,0,5,4,,
474,5,0,0,0,0,0,0,5,4,,
475,3,0,0,0,0,0,0,3,4,,
476,6,0,0,0,0,0,0,6,4,7,
477,6,0,0,0,0,0,0,6,5,9,
478,6,0,0,0,0,0,0,6,4,,
479,2,0,0,0,0,0,0,2,2,,
480,4,0,0,0,0,0,0,4,2,,
481,4,0,0,0,0,0,0,4,4,,
482,6,0,0,0,0,0,0,6,4,,
483,5,0,0,0,0,0,0,5,2,,
484,5,0,0,0,0,0,1,6,3,,
485,6,0,1,0,0,1,0,8,4,,
486,8,0,0,0,0,1,0,9,4,,
487,5,0,2,0,0,0,0,7,4,,
488,5,0,0,0,0,0,0,5,4,,
489,4,0,0,0,0,0,0,4,4,,
490,8,0,2,0,0,0,0,10,2,,
491,6,0,0,0,0,0,0,6,4,,
492,4,0,0,0,0,0,0,4,4,,
493,7,0,0,0,0,0,0,7,4,,
494,8,0,1,0,0,0,0,9,4,,
495,2,0,0,0,0,0,0,2,4,,
496,4,0,0,0,0,0,0,4,4,,
497,6,0,0,0,0,0,0,6,4,,
498,5,0,0,0,0,0,0,5,4,,
499,8,0,0,0,0,0,0,8,4,,
500,7,0,0,0,0,0,0,7,4,8,
501,8,0,0,0,0,0,0,8,4,,
502,7,0,0,0,0,0,0,7,2,,
503,3,0,0,0,0,0,0,3,4,,
504,7,0,0,0,0,0,0,7,4,,
505,6,0,2,0,0,0,0,8,2,,
506,7,0,0,0,1,0,0,8,4,,
507,5,0,1,0,0,0,0,6,4,,
508,2,0,1,0,0,0,0,3,4,,
509,8,0,0,0,0,0,0,8,4,,
510,11,0,1,0,0,0,1,13,4,,
511,7,0,0,0,0,0,0,7,4,,
512,6,0,0,0,0,0,0,6,2,8,
513,6,0,2,0,0,0,0,8,5,9,
514,7,0,4,0,0,0,0,11,4,,
515,6,0,0,0,0,0,0,6,4,7,
516,5,0,1,0,0,0,0,6,4,6,
517,7,0,0,0,0,0,0,7,2,,
518,3,0,1,0,0,1,0,5,4,,
519,5,0,0,0,0,0,0,5,4,,
520,5,0,0,0,0,0,0,5,2,,
521,8,0,0,0,0,0,0,8,4,,
522,3,0,2,0,0,0,0,5,2,,
523,4,0,0,0,0,0,0,4,4,,
524,6,0,0,0,0,0,0,6,2,6,
525,8,0,1,0,0,0,0,9,4,,
526,3,0,0,0,0,0,0,3,4,,
527,7,0,1,0,0,0,0,8,4,,
528,6,0,0,0,0,0,0,6,5,9,
529,6,0,0,0,0,0,0,6,5,9,
530,7,0,0,0,0,0,0,7,4,,
531,8,0,1,0,0,0,0,9,4,,
532,3,0,0,0,2,1,0,6,4,,
533,6,0,0,0,0,0,0,6,4,,
534,6,0,0,0,0,0,0,6,4,8,
535,6,0,0,0,0,0,0,6,5,10,
536,6,0,0,0,0,0,0,6,4,,
537,5,0,0,0,0,1,0,6,4,,
538,5,0,0,0,0,0,0,5,4,,
539,4,0,0,0,1,0,0,5,4,,
540,5,0,0,0,0,0,0,5,4,,
541,6,0,0,0,0,0,0,6,5,9,
542,6,0,0,0,0,0,0,6,2,5,
543,6,0,0,0,0,0,0,6,4,,
544,10,0,0,0,0,0,0,10,2,,
545,8,0,0,0,0,0,0,8,4,,
546,6,0,0,0,0,0,0,6,4,,
547,6,0,1,0,0,0,0,7,4,,
548,4,0,3,0,0,0,0,7,4,,
549,6,0,0,0,0,0,0,6,4,6,
550,5,0,1,0,0,0,0,6,4,,
551,1,0,0,0,0,0,0,1,4,,
552,6,0,0,0,0,0,0,6,4,4,
553,1,0,3,0,2,1,0,7,4,,
554,6,0,2,0,0,0,0,8,2,,
555,6,0,0,0,0,0,0,6,5,10,
556,3,0,1,0,0,0,0,4,2,,
557,6,0,0,0,0,0,0,6,4,7,
558,3,0,0,1,0,0,0,4,4,,
